file,result_2ls_TPDB_copy1,time_taken_2ls_TPDB_copy1,result_2ls_TPDB_copy2,time_taken_2ls_TPDB_copy2,result_2ls_TPDB_copy3,time_taken_2ls_TPDB_copy3,consistency
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple5_false-termination.c,Maybe,0.31,Maybe,0.32,Maybe,0.3,True
TPDB_Y2024_filtered_VBS/Ultimate/Cairo_true-termination.c,Maybe,0.35,Maybe,0.36,Maybe,0.35,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple8_false-termination.c,Maybe,0.34,Maybe,0.35,Maybe,0.35,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple4_false-termination.c,Maybe,0.32,Maybe,0.33,Maybe,0.33,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple3_false-termination.c,Maybe,0.23,Maybe,0.22,Maybe,0.23,True
TPDB_Y2024_filtered_VBS/Ultimate/LexIndexValue-Pointer_true-termination.c,Maybe,0.89,Maybe,0.9,Maybe,0.89,True
TPDB_Y2024_filtered_VBS/Ultimate/Pure3Phase_true-termination.c,Maybe,1.47,Maybe,1.45,Maybe,1.34,True
TPDB_Y2024_filtered_VBS/Ultimate/Arrays02-EquivalentConstantIndices_false-termination.c,Maybe,0.1,Maybe,0.09,Maybe,0.1,True
TPDB_Y2024_filtered_VBS/Ultimate/WhileTrue_false-termination.c,Maybe,0.09,Maybe,0.05,Maybe,0.06,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple6_false-termination.c,Maybe,0.16,Maybe,0.15,Maybe,0.12,True
TPDB_Y2024_filtered_VBS/Ultimate/Collatz_unknown-termination.c,Maybe,0.35,Maybe,0.34,Maybe,0.33,True
TPDB_Y2024_filtered_VBS/Ultimate/Lobnya-Boolean-Reordered_true-termination.c,Maybe,0.58,Maybe,0.58,Maybe,0.56,True
TPDB_Y2024_filtered_VBS/Ultimate/SyntaxSupportPointer01_true-termination.c,YES,0.6,YES,0.43,YES,0.59,True
TPDB_Y2024_filtered_VBS/Ultimate/RecursiveMultiplication_true-termination.c,YES,0.21,YES,0.21,YES,0.2,True
TPDB_Y2024_filtered_VBS/Ultimate/Rotation180_false-termination.c,Maybe,0.16,Maybe,0.16,Maybe,0.16,True
TPDB_Y2024_filtered_VBS/Ultimate/Madrid_false-termination.c,Maybe,0.09,Maybe,0.1,Maybe,0.09,True
TPDB_Y2024_filtered_VBS/Ultimate/Mysore_true-termination.c,Maybe,0.67,Maybe,0.5,Maybe,0.47,True
TPDB_Y2024_filtered_VBS/Ultimate/4BitCounterPointer_true-termination.c,Failed,0.24,Failed,0.26,Failed,0.25,True
TPDB_Y2024_filtered_VBS/Ultimate/Bangalore_true-termination.c,YES,0.14,YES,0.13,YES,0.13,True
TPDB_Y2024_filtered_VBS/Ultimate/Nyala-2lex_true-termination.c,Maybe,0.38,Maybe,0.26,Maybe,0.26,True
TPDB_Y2024_filtered_VBS/Ultimate/Arrays01-EquivalentConstantIndices_true-termination.c,Maybe,0.1,Maybe,0.1,Maybe,0.09,True
TPDB_Y2024_filtered_VBS/Ultimate/WhileFalse_true-termination.c,Maybe,0.09,Maybe,0.07,Maybe,0.08,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple7_false-termination.c,Maybe,0.16,Maybe,0.12,Maybe,0.16,True
TPDB_Y2024_filtered_VBS/Ultimate/Division_false-termination.c,Maybe,0.14,Maybe,0.14,Maybe,0.11,True
TPDB_Y2024_filtered_VBS/Ultimate/RecursiveNonterminating_false-termination.c,YES,0.16,YES,0.13,YES,0.15,True
TPDB_Y2024_filtered_VBS/Ultimate/Stockholm_true-termination.c,YES,0.18,YES,0.18,YES,0.18,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple9_false-termination.c,Maybe,0.16,Maybe,0.12,Maybe,0.16,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTermination2_false-termination.c,Maybe,0.18,Maybe,0.12,Maybe,0.17,True
TPDB_Y2024_filtered_VBS/Ultimate/LexIndexValue-Array_true-termination.c,Maybe,0.22,Maybe,0.23,Maybe,0.17,True
TPDB_Y2024_filtered_VBS/Ultimate/Arrays03-ValueRestictsIndex_true-termination.c,YES,0.14,YES,0.11,YES,0.14,True
TPDB_Y2024_filtered_VBS/Ultimate/Parallel_true-termination.c,YES,0.17,YES,0.17,YES,0.12,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTerminationSimple2_false-termination.c,Maybe,0.37,Maybe,0.26,Maybe,0.26,True
TPDB_Y2024_filtered_VBS/Ultimate/Gothenburg_true-termination.c,Maybe,0.83,Maybe,0.84,Maybe,0.57,True
TPDB_Y2024_filtered_VBS/Ultimate/NonTermination3_false-termination.c,Maybe,0.41,Maybe,0.29,Maybe,0.39,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c,Maybe,5.04,Maybe,5.07,Maybe,4.45,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c,Maybe,3.37,Maybe,3.42,Maybe,3.31,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.10_true-termination.c,YES,0.18,YES,0.17,YES,0.17,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c,YES,0.12,YES,0.11,YES,0.15,True
TPDB_Y2024_filtered_VBS/Stroeder_15/CookSeeZuleger-TACAS2013-Fig8b_true-termination.c,Maybe,0.21,Maybe,0.21,Maybe,0.21,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c,Maybe,0.32,Maybe,0.23,Maybe,0.3,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_c.08.c,YES,0.37,YES,0.53,YES,0.54,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_01.c,Maybe,0.1,Maybe,0.1,Maybe,0.11,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ComplInterv3.c,Maybe,0.25,Maybe,0.25,Maybe,0.35,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,Maybe,0.6,Maybe,0.58,Maybe,0.84,True
TPDB_Y2024_filtered_VBS/Stroeder_15/WhileDecr.c,YES,0.1,YES,0.11,YES,0.13,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,Maybe,1.25,Maybe,1.21,Maybe,1.72,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple5_false-termination.c,Maybe,0.23,Maybe,0.23,Maybe,0.22,True
TPDB_Y2024_filtered_VBS/Stroeder_15/GCD3.c,YES,0.49,YES,0.49,YES,0.48,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_00.c,Maybe,0.1,Maybe,0.09,Maybe,0.09,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,Maybe,2.26,Maybe,2.22,Maybe,2.62,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.22_true-termination.c,YES,3.52,YES,3.24,YES,3.21,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Avery-FLOPS2006-Table1_true-termination.c,YES,0.43,YES,0.29,YES,0.28,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c,YES,0.2,YES,0.16,YES,0.19,True
TPDB_Y2024_filtered_VBS/Stroeder_15/DivWithoutMinus.c,Maybe,0.97,Maybe,0.68,Maybe,0.95,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_12.c,TIMEOUT,300.27,TIMEOUT,300.13,TIMEOUT,300.12,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Flip2.c,Maybe,1.04,Maybe,1.14,Maybe,1.05,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB4.c,YES,0.3,YES,0.17,YES,0.23,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB11.c,YES,0.24,YES,0.19,YES,0.15,True
TPDB_Y2024_filtered_VBS/Stroeder_15/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c,Maybe,1.44,Maybe,1.21,Maybe,1.22,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,Maybe,0.42,Maybe,0.4,Maybe,0.44,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_ex3a.c,YES,0.23,YES,0.24,YES,0.23,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Middle.c,Maybe,6.63,Maybe,7.05,Maybe,6.48,True
TPDB_Y2024_filtered_VBS/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c,Maybe,0.58,Maybe,0.74,Maybe,0.59,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AlternKonv.c,Maybe,0.61,Maybe,0.35,Maybe,0.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.06.c,YES,0.27,YES,0.49,YES,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Benghazi_true-termination.c,TIMEOUT,300.11,TIMEOUT,300.12,TIMEOUT,300.11,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB16.c,YES,0.2,YES,0.19,YES,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Cairo_true-termination.c,Maybe,0.36,Maybe,0.36,Maybe,0.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_java_Break.c,YES,0.21,YES,0.21,YES,0.21,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AlternDivWidening.c,Maybe,0.61,Maybe,0.61,Maybe,0.44,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.09_assume.c,YES,0.22,YES,0.23,YES,0.16,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Loop.c,Maybe,0.14,Maybe,0.13,Maybe,0.12,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple8_false-termination.c,Maybe,0.35,Maybe,0.34,Maybe,0.25,True
TPDB_Y2024_filtered_VBS/Stroeder_15/MinusUserDefined.c,Maybe,0.64,Maybe,0.66,Maybe,0.45,True
TPDB_Y2024_filtered_VBS/Stroeder_15/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6_true-termination.c,YES,0.18,YES,0.19,YES,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaA6.c,Maybe,6.8,Maybe,6.83,Maybe,6.29,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Marbie1.c,Maybe,0.38,Maybe,0.38,Maybe,0.37,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Et1.c,Maybe,0.86,Maybe,0.86,Maybe,0.59,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_22.c,Maybe,0.13,Maybe,0.1,Maybe,0.13,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.18_true-termination.c,Maybe,2.09,Maybe,2.44,Maybe,2.1,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Ex03.c,Maybe,0.15,Maybe,0.12,Maybe,0.15,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ComplInterv2.c,Maybe,0.11,Maybe,0.11,Maybe,0.1,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.07.c,YES,0.19,YES,0.19,YES,0.18,True
TPDB_Y2024_filtered_VBS/Stroeder_15/min_rf_true-termination.c,Maybe,1.69,Maybe,1.17,Maybe,1.71,True
TPDB_Y2024_filtered_VBS/Stroeder_15/CookSeeZuleger-TACAS2013-Fig1_true-termination.c,YES,0.14,YES,0.16,YES,0.15,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-TACAS2011-Fig4_true-termination.c,YES,0.17,YES,0.13,YES,0.18,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.01.c,YES,0.15,YES,0.16,YES,0.15,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c,YES,0.24,YES,0.18,YES,0.18,True
TPDB_Y2024_filtered_VBS/Stroeder_15/UpAndDown.c,Maybe,0.22,Maybe,0.23,Maybe,0.31,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ComplInterv.c,Maybe,0.26,Maybe,0.24,Maybe,0.19,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.19_true-termination.c,Maybe,0.56,Maybe,0.56,Maybe,0.8,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c,Maybe,0.59,Maybe,0.59,Maybe,0.42,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-VMCAI2004-Ex2_true-termination.c,Maybe,0.32,Maybe,0.22,Maybe,0.22,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c,Maybe,0.51,Maybe,0.35,Maybe,0.51,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-VMCAI2004-Ex1_true-termination.c,Maybe,4.26,Maybe,4.15,Maybe,3.72,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.02.c,YES,0.27,YES,0.21,YES,0.28,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c,Maybe,0.3,Maybe,0.23,Maybe,0.23,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c,Maybe,0.2,Maybe,0.18,Maybe,0.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex_true-termination.c,YES,0.13,YES,0.11,YES,0.11,True
TPDB_Y2024_filtered_VBS/Stroeder_15/CookSeeZuleger-TACAS2013-Fig8a_true-termination.c,Maybe,0.13,Maybe,0.13,Maybe,0.17,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,Maybe,6.23,Maybe,6.21,Maybe,6.22,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_21.c,Maybe,0.14,Maybe,0.11,Maybe,0.1,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c,Maybe,0.62,Maybe,0.43,Maybe,0.63,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB1.c,YES,0.13,YES,0.1,YES,0.13,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.09_assume.c,Maybe,0.36,Maybe,0.26,Maybe,0.37,True
TPDB_Y2024_filtered_VBS/Stroeder_15/WhileIncr.c,Maybe,0.35,Maybe,0.35,Maybe,0.25,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_04.c,Maybe,1.72,Maybe,1.2,Maybe,1.75,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Ex05.c,Maybe,0.07,Maybe,0.07,Maybe,0.06,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaA8.c,YES,0.18,YES,0.18,YES,0.18,True
TPDB_Y2024_filtered_VBS/Stroeder_15/LeikeHeizmann-TACAS2014-Fig1_true-termination.c,Maybe,0.98,Maybe,0.68,Maybe,0.7,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaC1.c,Maybe,0.29,Maybe,0.28,Maybe,0.3,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple4_false-termination.c,Maybe,0.35,Maybe,0.25,Maybe,0.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Urban-WST2013-Fig2_true-termination.c,YES,0.2,YES,0.14,YES,0.14,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Flip.c,Maybe,111.62,Maybe,113.04,Maybe,113.41,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaA1.c,YES,0.26,YES,0.26,YES,0.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple3_false-termination.c,Maybe,0.12,Maybe,0.1,Maybe,0.1,True
TPDB_Y2024_filtered_VBS/Stroeder_15/easy1_true-termination.c,YES,0.17,YES,0.17,YES,0.17,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-random2d_true-termination.c,YES,0.31,YES,0.23,YES,0.22,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Nested.c,YES,0.29,YES,0.29,YES,0.29,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_24.c,Maybe,0.14,Maybe,0.14,Maybe,0.14,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.18.c,YES,0.38,YES,0.39,YES,0.27,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_10.c,YES,0.21,YES,0.21,YES,0.21,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Lcm.c,Maybe,0.33,Maybe,0.33,Maybe,0.23,True
TPDB_Y2024_filtered_VBS/Stroeder_15/GCD.c,Maybe,36.84,Maybe,37.58,Maybe,36.71,True
TPDB_Y2024_filtered_VBS/Stroeder_15/CookSeeZuleger-TACAS2013-Fig7b_true-termination.c,YES,0.36,YES,0.37,YES,0.36,True
TPDB_Y2024_filtered_VBS/Stroeder_15/HeizmannHoenickeLeikePodelski-ATVA2013-Fig1_true-termination.c,Maybe,0.62,Maybe,0.88,Maybe,0.61,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Toulouse-MultiBranchesToLoop_true-termination.c,Maybe,1.72,Maybe,1.63,Maybe,1.67,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Pure3Phase_true-termination.c,Maybe,1.46,Maybe,1.07,Maybe,1.08,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,YES,0.25,YES,0.24,YES,0.18,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Ex04.c,Maybe,0.1,Maybe,0.08,Maybe,0.09,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NonTermination1_false-termination.c,Maybe,0.14,Maybe,0.19,Maybe,0.14,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Pure2Phase_true-termination.c,Maybe,0.48,Maybe,0.33,Maybe,0.34,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_ex2.c,Maybe,0.5,Maybe,0.72,Maybe,0.49,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c,Maybe,0.76,Maybe,0.75,Maybe,0.54,True
TPDB_Y2024_filtered_VBS/Stroeder_15/WhileTrue_false-termination.c,Maybe,0.06,Maybe,0.08,Maybe,0.06,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB7.c,YES,0.11,YES,0.11,YES,0.1,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple6_false-termination.c,Maybe,0.23,Maybe,0.33,Maybe,0.23,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.05.c,Maybe,6.86,Maybe,6.5,Maybe,6.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.10.c,Maybe,0.46,Maybe,0.65,Maybe,0.66,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c,YES,0.22,YES,0.3,YES,0.22,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c,Maybe,0.57,Maybe,0.57,Maybe,0.81,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.20_true-termination.c,YES,0.26,YES,0.25,YES,0.19,True
TPDB_Y2024_filtered_VBS/Stroeder_15/UpAndDownIneq.c,Maybe,0.18,Maybe,0.18,Maybe,0.25,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.11.c,YES,0.27,YES,0.25,YES,0.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/HeizmannHoenickeLeikePodelski-ATVA2013-Fig4_true-termination.c,YES,0.11,YES,0.13,YES,0.13,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Lobnya-Boolean-Reordered_true-termination.c,Maybe,0.5,Maybe,0.5,Maybe,0.5,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Ex08.c,Maybe,0.3,Maybe,0.42,Maybe,0.31,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c,Failed,0.21,Failed,0.22,Failed,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c,Maybe,0.84,Maybe,1.2,Maybe,0.82,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.01_true-termination.c,Maybe,0.33,Maybe,0.32,Maybe,0.33,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.07_true-termination.c,YES,0.53,YES,0.76,YES,0.52,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Narrowing.c,Maybe,0.27,Maybe,0.38,Maybe,0.37,True
TPDB_Y2024_filtered_VBS/Stroeder_15/GulavaniGulwani-CAV2008-Fig1a_true-termination.c,YES,0.16,YES,0.22,YES,0.21,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Fig1_true-termination.c,YES,0.96,YES,0.94,YES,0.65,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Waldkirch_true-termination.c,YES,0.12,YES,0.12,YES,0.14,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c,Maybe,0.31,Maybe,0.3,Maybe,0.3,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c,YES,0.25,YES,0.24,YES,0.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/collatz.c,Maybe,2.24,Maybe,2.27,Maybe,2.23,True
TPDB_Y2024_filtered_VBS/Stroeder_15/LeikeHeizmann-TACAS2014-Ex9_true-termination.c,YES,0.22,YES,0.2,YES,0.16,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c,YES,0.3,YES,0.3,YES,0.22,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB6.c,YES,0.15,YES,0.15,YES,0.15,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_03.c,Maybe,0.18,Maybe,0.2,Maybe,0.19,True
TPDB_Y2024_filtered_VBS/Stroeder_15/DivMinus2.c,Maybe,1.46,Maybe,1.45,Maybe,1.45,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB2.c,YES,0.19,YES,0.18,YES,0.18,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB3.c,Maybe,0.24,Maybe,0.23,Maybe,0.32,True
TPDB_Y2024_filtered_VBS/Stroeder_15/HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c,YES,0.12,YES,0.09,YES,0.11,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaA4.c,YES,0.16,YES,0.13,YES,0.17,True
TPDB_Y2024_filtered_VBS/Stroeder_15/genady_true-termination.c,YES,0.29,YES,0.21,YES,0.3,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Thun_true-termination.c,Maybe,0.54,Maybe,0.54,Maybe,0.78,True
TPDB_Y2024_filtered_VBS/Stroeder_15/LeikeHeizmann-WST2014-Ex6_false-termination.c,Maybe,0.76,Maybe,0.74,Maybe,0.74,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c,Maybe,0.54,Maybe,0.55,Maybe,0.78,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaC2.c,Maybe,0.46,Maybe,0.46,Maybe,0.47,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_c.07.c,YES,0.39,YES,0.38,YES,0.54,True
TPDB_Y2024_filtered_VBS/Stroeder_15/MirrorIntervSim.c,Maybe,0.13,Maybe,0.13,Maybe,0.13,True
TPDB_Y2024_filtered_VBS/Stroeder_15/UrbanMine-ESOP2014-Fig3_true-termination.c,Maybe,0.51,Maybe,0.36,Maybe,0.51,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.04.c,YES,0.2,YES,0.27,YES,0.27,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_easySum.c,YES,0.24,YES,0.24,YES,0.24,True
